t,Tv_w0p25,Ti_w0p25,absdT_w0p25,Tv_w0p50,Ti_w0p50,absdT_w0p50,Tv_w0p75,Ti_w0p75,absdT_w0p75,Tv_w1p00,Ti_w1p00,absdT_w1p00
0.0810778335671155,1.26322607337292,1.20516088994037,0.0580651834325505,1.24337761785833,1.23493357321217,0.00844404464615867,1.24039128000287,1.23941307999527,0.000978200007599517,1.23993844970335,1.24009232544448,0.000153875741135012
0.0811049046300761,1.26321120500264,1.20518319249578,0.0580280125068606,1.24337315605304,1.2349402659201,0.00843289013293957,1.24039024703101,1.23941462945306,0.000975617577954724,1.23993822905039,1.24009265642392,0.00015442737353899
0.0811319756930367,1.26319634613263,1.2052054808008,0.0579908653318333,1.24336869986853,1.23494695019687,0.00842174967165854,1.24038921599197,1.23941617601163,0.000973039980339596,1.23993800894026,1.24009298658911,0.000154977648850751
0.0811590467559974,1.26318149675675,1.20522775486462,0.0579537418921277,1.24336424929769,1.23495362605312,0.00841062324456976,1.24038818688211,1.23941771967641,0.000970467205703374,1.23993778937164,1.24009331594205,0.00015552657041229
0.081186117818958,1.26316665686887,1.20525001469645,0.0579166421724131,1.24335980433344,1.23496029349949,0.0083995108339483,1.24038715969784,1.23941926045282,0.000967899245012616,1.23993757034318,1.24009364448474,0.000156074141558493
0.0812131888819187,1.26315182646285,1.20527226030548,0.0578795661573694,1.2433553649687,1.23496695254661,0.00838841242209276,1.24038613443553,1.23942079834628,0.000965336089250979,1.23993735185355,1.24009397221917,0.000156620365614479
0.0812402599448793,1.26313700553258,1.20529449170089,0.057842513831686,1.24335093119639,1.23497360320507,0.00837732799132351,1.2403851110916,1.23942233336218,0.000962777729418773,1.23993713390144,1.24009429914734,0.000157165245898261
0.0812673310078399,1.26312219407193,1.20531670889186,0.0578054851800625,1.24334650300946,1.23498024548547,0.00836625752398401,1.24038408966244,1.23942386550591,0.000960224156533407,1.23993691648551,1.24009462527123,0.000157708785719191
0.0812944020708006,1.26310739207478,1.20533891188758,0.0577684801872083,1.24334208040084,1.2349868793984,0.00835520100243947,1.24038307014448,1.23942539478285,0.000957675361629162,1.23993669960445,1.24009495059283,0.000158250988379072
0.0813214731337612,1.26309259953504,1.20536110069719,0.0577314988378437,1.24333766336349,1.23499350495441,0.00834415840907821,1.24038205253413,1.23942692119838,0.000955131335756754,1.23993648325693,1.2400952751141,0.000158791857170382
0.0813485441967219,1.26307781644658,1.20538327532988,0.0576945411166985,1.24333325189039,1.23500012216408,0.00833312972630984,1.24038103682782,1.23942844475784,0.000952592069984215,1.23993626744165,1.24009559883703,0.000159331395378715
0.0813756152596825,1.26306304280331,1.20540543579479,0.0576576070085124,1.24332884597449,1.23500673103792,0.00832211493656754,1.24038002302199,1.23942996546659,0.000950057555396233,1.23993605215729,1.24009592176357,0.000159869606281005
0.0814026863226431,1.26304827859911,1.20542758210108,0.0576206964980357,1.24332444560878,1.23501333158648,0.008311114022306,1.24037901111307,1.23943148332997,0.000947527783093927,1.23993583740254,1.24009624389569,0.000160406493145526
0.0814297573856038,1.26303352382791,1.20544971425788,0.0575838095700285,1.24332005078626,1.23501992382026,0.00830012696600213,1.24037800109751,1.23943299835331,0.000945002744194845,1.23993562317611,1.24009656523534,0.000160942059233893
0.0814568284485644,1.2630187784836,1.20547183227434,0.0575469462092606,1.24331566149992,1.23502650774977,0.00828915375015549,1.24037699297176,1.23943451054193,0.000942482429834524,1.23993540947668,1.24009688578448,0.00016147630779817
0.0814838995115251,1.26300404256011,1.20549393615959,0.0575101064005121,1.24331127774278,1.23503308338549,0.00827819435728783,1.2403759867323,1.23943601990113,0.000939966831163597,1.23993519630297,1.24009720554505,0.000162009242083316
0.0815109705744857,1.26298931605133,1.20551602592276,0.0574732901285737,1.24330689950784,1.2350396507379,0.00826724876994245,1.24037498237557,1.23943752643622,0.00093745593935024,1.23993498365367,1.240097524519,0.000162540865326077
0.0815380416374463,1.2629745989512,1.20553810157295,0.0574364973782451,1.24330252678814,1.23504620981745,0.00825631697068574,1.24037397989806,1.23943903015248,0.000934949745578839,1.2399347715275,1.24009784270825,0.000163071180755203
0.081565112700407,1.26295989125363,1.2055601631193,0.0573997281343364,1.2432981595767,1.2350527606346,0.00824539894210541,1.24037297929625,1.2394405310552,0.000932448241050432,1.23993455992316,1.24009816011475,0.000163600191591229
0.0815921837633676,1.26294519295257,1.2055822105709,0.0573629823816681,1.24329379786659,1.23505930319977,0.00823449466681159,1.24037198056662,1.23944202914964,0.000929951416982933,1.23993434883938,1.24009847674043,0.000164127901047362
